Schritt,Zustand,Zeit,Programmdauer,Schrittdauer,Zyklus,Zyklusebene,Prozedur,Prozedurebene,StartFreq,EndFreq,SetFreq,AAcMax,VAcMin,VAcMax,mvIdeal,Go,AACStart,MinIntervalTime,CountOfPeriods,Status,EisError,U1,Zreal1,Zimg1,ActFreq,UIdeal,AStart,MinDuration,MinPeriods,RemTime,VRelativ,AAmplitude,Betrag,Phase
,,,,,,,,,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS,EIS
5,EIS,2013-01-27 09:35:02.37,1.38347419E8,1801814.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-27 09:35:02.44,1.38347436E8,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.617147445678711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-27 12:34:03.72,1.49088704E8,1.0741268E7,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616818904876709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-27 12:34:03.84,1.49088721E8,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,2.0,2.5,4.19999999999709,3.0,0.0,0.1000000000000227,1.0,2.0,0.0,0.0,3.616818904876709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-27 13:04:05.76,1.50890626E8,1801905.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-27 13:04:05.82,1.50890642E8,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.618043661117554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-27 16:08:53.57,1.6197837E8,1.1087728E7,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61478066444397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-27 16:08:53.72,1.61978385E8,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,2.0,2.5,4.19999999999709,3.0,0.0,0.1000000000000227,1.0,2.0,0.0,0.0,3.61478066444397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,EIS,2013-01-27 16:38:55.58,1.63780221E8,1801836.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-27 16:38:55.64,1.63780238E8,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PAU,2013-01-28 10:24:31.68,2.27716264E8,6.3936026E7,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616998672485352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9999,PAU,2013-01-28 10:24:31.72,2.27716291E8,6.3936053E7,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616998672485352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9999,STO,2013-01-28 10:24:31.78,2.27716303E8,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616998672485352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9999,STO,2013-01-28 10:24:31.78,2.27716303E8,0.0,0,0,TBA_BOL_P2_EIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.616998672485352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
